samplingTime,Drv_DeltaSteer,Veh_Vx
0,0,30
0.005,0,29.99966417
0.01,0,29.99881271
0.015,0,29.99759575
0.02,0,29.99612123
0.025,0,29.99447177
0.03,0,29.99270624
0.035,0,29.99086302
0.04,0,29.98896577
0.045,0,29.98702936
0.05,0,29.9850643
0.055,0,29.98307915
0.06,0,29.98108143
0.065,0,29.97907754
0.07,0,29.97707242
0.075,0,29.97506945
0.08,0,29.97307045
0.085,0,29.97107601
0.09,0,29.96908588
0.095,0,29.9670993
0.1,0,29.96511538
0.105,0,29.96313321
0.11,0,29.96115202
0.115,0,29.95917119
0.12,0,29.95719028
0.125,0,29.95520898
0.13,0,29.9532271
0.135,0,29.95124456
0.14,0,29.94926132
0.145,0,29.94727744
0.15,0,29.94529297
0.155,0,29.943308
0.16,0,29.94132263
0.165,0,29.93933696
0.17,0,29.93735106
0.175,0,29.935365
0.18,0,29.93337884
0.185,0,29.93139263
0.19,0,29.92940638
0.195,0,29.92742013
0.2,0,29.92543387
0.205,0,29.92344763
0.21,0,29.9214614
0.215,0,29.91947518
0.22,0,29.91748899
0.225,0,29.91550282
0.23,0,29.91351669
0.235,0,29.91153059
0.24,0,29.90954455
0.245,0,29.90755856
0.25,0,29.90557264
0.255,0,29.90358681
0.26,0,29.90160107
0.265,0,29.89961544
0.27,0,29.89762992
0.275,0,29.89564454
0.28,0,29.8936593
0.285,0,29.89167421
0.29,0,29.88968929
0.295,0,29.88770454
0.3,0,29.88571997
0.305,0,29.88373559
0.31,0,29.88175142
0.315,0,29.87976745
0.32,0,29.8777837
0.325,0,29.87580017
0.33,0,29.87381687
0.335,0,29.8718338
0.34,0,29.86985098
0.345,0,29.86786841
0.35,0,29.8658861
0.355,0,29.86390404
0.36,0,29.86192225
0.365,0,29.85994073
0.37,0,29.85795951
0.375,0,29.85597862
0.38,0,29.8539981
0.385,0,29.85201795
0.39,0,29.85003816
0.395,0,29.84805873
0.4,0,29.84607964
0.405,0,29.84410088
0.41,0,29.84212245
0.415,0,29.84014432
0.42,0,29.8381665
0.425,0,29.83618894
0.43,0,29.83421163
0.435,0,29.83223456
0.44,0,29.83025774
0.445,0,29.82828118
0.45,0,29.82630487
0.455,0,29.82432883
0.46,0,29.82235306
0.465,0,29.82037757
0.47,0,29.81840236
0.475,0,29.81642744
0.48,0,29.8144528
0.485,0,29.81247844
0.49,0,29.81050436
0.495,0,29.80853057
0.5,0,29.80655705
0.505,0,29.8045838
0.51,0,29.80261083
0.515,0,29.80063812
0.52,0,29.79866568
0.525,0,29.7966935
0.53,0,29.79472157
0.535,0,29.7927499
0.54,0,29.79077849
0.545,0,29.78880732
0.55,0,29.78683639
0.555,0,29.78486571
0.56,0,29.78289527
0.565,0,29.78092506
0.57,0,29.77895508
0.575,0,29.77698534
0.58,0,29.77501582
0.585,0,29.77304653
0.59,0,29.77107745
0.595,0,29.76910859
0.6,0,29.76713995
0.605,0,29.76517152
0.61,0,29.7632033
0.615,0,29.76123528
0.62,0,29.75926746
0.625,0,29.75729985
0.63,0,29.75533243
0.635,0,29.7533652
0.64,0,29.75139817
0.645,0,29.74943132
0.65,0,29.74746466
0.655,0,29.74549819
0.66,0,29.74353189
0.665,0,29.74156578
0.67,0,29.73959984
0.675,0,29.73763407
0.68,0,29.73566847
0.685,0,29.73370305
0.69,0,29.73173779
0.695,0,29.7297727
0.7,0,29.72780777
0.705,0,29.725843
0.71,0,29.72387839
0.715,0,29.72191394
0.72,0,29.71994965
0.725,0,29.71798551
0.73,0,29.71602153
